,Tweets,Subjectividad,Polaridad,Analisis
0,: Gracias por este premio Nacional de Economía Circular 2021 ( entregado por Fundación Recyclapo…,0.0,0.0,Neutral
1,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
2,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
3,"_Villeda: Los costos de la energía solar fotovoltaica y la energía eólica han caído, la nueva capacidad renovable no solo es cada v…",0.0,0.0,Neutral
4,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
5,: “Al calor de las ayudas millonarias de la UE se proyectan parques eólicos e instalaciones de energía solar sin planifi…,0.0,0.0,Neutral
6,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
7,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
8,": ""La energía solar permite que se produzcan ciertas reacciones químicas en el organismo que permiten el crecimiento y de…",0.0,0.0,Neutral
9,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
10,: Gracias por este premio Nacional de Economía Circular 2021 ( entregado por Fundación Recyclapo…,0.0,0.0,Neutral
11,"Nos llenamos la boca con hidrógeno verde, energía eólica y solar. Pero el , de , sigue decidiendo, a puerta cerrada, en favor de los empresarios.",0.0,0.0,Neutral
12,: “Al calor de las ayudas millonarias de la UE se proyectan parques eólicos e instalaciones de energía solar sin planifi…,0.0,0.0,Neutral
13,":   Jeg, Espero que sepas que las eólicas y solar tienen un rendimiento nada constante, por eso se necesi…",0.0,0.0,Neutral
14,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
15,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
16,: “Al calor de las ayudas millonarias de la UE se proyectan parques eólicos e instalaciones de energía solar sin planifi…,0.0,0.0,Neutral
17,: “Al calor de las ayudas millonarias de la UE se proyectan parques eólicos e instalaciones de energía solar sin planifi…,0.0,0.0,Neutral
18,: “Al calor de las ayudas millonarias de la UE se proyectan parques eólicos e instalaciones de energía solar sin planifi…,0.0,0.0,Neutral
19,": En mi carrera, he contribuido a que nuestro país reciba cientos de millones en inversiones y contribuido a que la ener…",0.0,0.0,Neutral
20,"ojalá Sonora y las Bajas Californias le entren de lleno a la energía solar 
  _    2  1   ",0.0,0.0,Neutral
21,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
22,: “Al calor de las ayudas millonarias de la UE se proyectan parques eólicos e instalaciones de energía solar sin planifi…,0.0,0.0,Neutral
23,": La ubicación geográfica y las condiciones meteorológicas de México, lo convierten en uno de los territorios con mayor potencia…",0.0,0.0,Neutral
24,: “Al calor de las ayudas millonarias de la UE se proyectan parques eólicos e instalaciones de energía solar sin planifi…,0.0,0.0,Neutral
25,: “Al calor de las ayudas millonarias de la UE se proyectan parques eólicos e instalaciones de energía solar sin planifi…,0.0,0.0,Neutral
26,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
27,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
28,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
29,Más allá de flujo de energía eléctrica de hora 92% 🔋 ,0.0,0.0,Neutral
30,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
31,: Esta ciudad australiana ya puede alimentarse al 100% con energía solar fotovoltaica 🥳    Energ…,0.0,0.0,Neutral
32,Esta ciudad australiana ya puede alimentarse al 100% con energía solar fotovoltaica 🥳    Energy Australia Cleanenergy Climatechange,0.0,0.0,Neutral
33,Formar parte de una comunidad solar trae beneficios importantes como créditos en tu factura y menor impacto ambiental. Conoce más información en nuestro blog:  ,0.0,0.0,Neutral
34,Este es el mapa de zonas aptas para generar energía solar y eólica. ,0.0,0.0,Neutral
35,": Ciudad Solar es uno de los ejes de Nuestro Programa Ambiental y de Cambio Climático.

Así, miramos hacia el futuro: nos a…",0.0,0.0,Neutral
